"Project ID","Workspace","Group(s)","Team(s)","AI ($)","Hosting ($)","Storage ($)","Other ($)","Total ($)"
"eb138d71-d0a7-4822-abf0-2a257ab57199","","AZ-Replit - Finance - Member","Finance",3701.5294,0.0000,0.0000,0.0000,3701.5294
"1b17c77f-9907-443f-b6bc-7d9d590ef99f","","AZ-Replit - Growth Strategy & Operations - Member","Growth Strategy & Operations",2046.9364,0.0000,0.0000,0.0000,2046.9364
"f635e6f8-76ce-4d56-bd6b-b587bea18ba0","","AZ-Replit - EBI Enterprise Analytics - Member","EBI Enterprise Analytics",1799.7485,0.0000,0.0000,0.0000,1799.7485
"1b709e26-5a8a-494c-a6fb-b8d0420bfab9","","AZ-Replit - Growth Strategy & Operations - Admin; AZ-Replit - Growth Strategy & Operations - Member","Growth Strategy & Operations",1707.6059,0.0000,0.0000,0.0000,1707.6059
"d66c9c74-1cdb-44bf-bc4b-f654f28955f9","","AZ-Replit - Strategic Development Mosaic - Admin; AZ-Replit - Strategic Development Mosaic - Member","Strategic Development Mosaic",1581.8486,0.0000,0.0000,0.0000,1581.8486
"76c00ef7-7780-4d3b-9606-edbebb83fa8f","","AZ-Replit - Growth Strategy & Operations - Admin; AZ-Replit - Growth Strategy & Operations - Member","Growth Strategy & Operations",1531.6929,0.0000,0.0000,0.0000,1531.6929
"62f58ecf-a5cc-468e-a1f0-7d754b24ffc8","","AZ-Replit - Strategic Development LIFT Labs - Member","Strategic Development LIFT Labs",1220.0099,0.0000,0.0000,0.0000,1220.0099
"f643d393-5a79-41e5-a290-86e34167adc7","","AZ-Replit - Wireless - Admin; AZ-Replit - Wireless - Member","Wireless",1081.7574,0.0000,0.0000,0.0000,1081.7574
"867420a3-8da0-44b2-b868-2aff86ce781e","","AZ-Replit - Finance - Member","Finance",1053.9065,0.0000,0.0000,0.0000,1053.9065
"d44ded62-2172-45d1-b24d-856ed63afea7","","AZ-Replit - Strategic Development Mosaic - Admin; AZ-Replit - Strategic Development Mosaic - Member","Strategic Development Mosaic",965.6619,0.0000,0.0000,0.0000,965.6619
"4ee4cb60-a40c-4080-a3f5-e4766c09e523","","AZ-Replit - Corporate Communications - Admin; AZ-Replit - Corporate Communications - Member; BnD Analytics Team","Corporate Communications",949.3157,0.0000,0.0000,0.0000,949.3157
"b9d7e6ea-89ef-4156-8ce0-edea6ed2a8fe","","AZ-Replit - Corporate Communications - Admin; AZ-Replit - Corporate Communications - Member; BnD Analytics Team","Corporate Communications",776.3940,0.0000,0.0000,0.0000,776.3940
"485e247e-328c-49b8-8f6e-74eb2b96457f","","AZ-Replit - Corporate Communications - Member; BnD Analytics Team","Corporate Communications",742.6968,0.0000,0.0000,0.0000,742.6968
"6c9d3ff9-964e-470e-8690-a309ecb70737","","AZ-Replit - Growth CXSO Account Mgmt - Admin; AZ-Replit - Growth CXSO Account Mgmt - Member","Growth CXSO Account Mgmt",742.5419,0.0000,0.0000,0.0000,742.5419
